Node1;Module1;weight;;;
ENSG00000054654;green;24.4171354245811;;SYNE2;spectrin repeat containing nuclear envelope protein 2(SYNE2)
ENSG00000136231;green;23.7993658932054;;IGF2BP3;insulin like growth factor 2 mRNA binding protein 3(IGF2BP3)
ENSG00000148218;green;23.6954777036681;;ALAD;aminolevulinate dehydratase(ALAD)
ENSG00000077463;green;23.2466968769071;;SIRT6;sirtuin 6(SIRT6)
ENSG00000089693;green;23.1802473448911;;MLF2;myeloid leukemia factor 2(MLF2)
ENSG00000174718;green;22.779655096634;;RESF1;retroelement silencing factor 1(RESF1)
ENSG00000163374;green;22.523278094669;;YY1AP1;YY1 associated protein 1(YY1AP1)
ENSG00000167703;green;21.9563843063647;;SLC43A2;solute carrier family 43 member 2(SLC43A2)
ENSG00000101825;green;21.9405659391481;;MXRA5;matrix remodeling associated 5(MXRA5)
ENSG00000164161;green;21.6802598292356;;HHIP;hedgehog interacting protein(HHIP)
ENSG00000082781;green;21.498169110465;;ITGB5;integrin subunit beta 5(ITGB5)
ENSG00000134551;green;21.4116163703758;;PRH2;proline rich protein HaeIII subfamily 2(PRH2)
ENSG00000214039;green;21.0489328983074;;LINC0241;sapiens    long intergenic non-protein coding RNA 2418(LINC02418)
ENSG00000105428;green;20.6904701582654;;ZNRF4;zinc and ring finger 4(ZNRF4)
ENSG00000283785;red;8.03663028777964;;MIR15A;microRNA 15a(MIR15A)
ENSG00000208023;red;7.7515352361636;;MIR185;microRNA 185(MIR185)
ENSG00000208013;red;7.72585177969728;;MIR652;microRNA 652(MIR652)
ENSG00000199032;red;7.66601401992029;;MIR425;microRNA 425(MIR425)
ENSG00000199150;red;7.29950702063696;;MIRLET7G;sapiens    microRNA let-7g(MIRLET7G)
ENSG00000207625;red;7.29365356702964;;MIR128-2;sapiens    microRNA 128-2(MIR128-2)
ENSG00000284231;red;6.95717373817582;;MIR424;microRNA 424(MIR424)
ENSG00000207691;red;6.95072552062723;;MIR183;microRNA 183(MIR183)
ENSG00000207973;red;6.65818666502769;;MIR589;microRNA 589(MIR589)
ENSG00000207965;red;6.50824406634928;;MIR629;microRNA 629(MIR629)
ENSG00000207779;red;6.47975032362802;;MIR15B;microRNA 15b(MIR15B)
ENSG00000207758;red;6.24776002201526;;MIR532;microRNA 532(MIR532)
ENSG00000207698;red;5.94824994913492;;MIR32;microRNA 32(MIR32)
ENSG00000206925;red;5.87577555722661;;#N/A;#N/A
ENSG00000215930;red;5.85856962754641;;MIR942;microRNA 942(MIR942)
ENSG00000212024;red;5.84273962094002;;MIR550A3;sapiens    microRNA 550a-3(MIR550A3)
ENSG00000271886;red;5.76562257705553;;MIR98;microRNA 98(MIR98)
ENSG00000202273;red;5.72901268574849;;#N/A;#N/A
ENSG00000207714;red;5.70239498529897;;MIR584;microRNA 584(MIR584)
ENSG00000264661;red;5.67636021861776;;MIR3200;microRNA 3200(MIR3200)
ENSG00000010379;turquoise;61.5239093706483;;SLC6A13;solute carrier family 6 member 13(SLC6A13)
ENSG00000135749;turquoise;58.8509967162903;;PCNX2;pecanex 2(PCNX2)
ENSG00000012232;turquoise;58.2745889984438;;EXTL3;exostosin like glycosyltransferase 3(EXTL3)
ENSG00000140521;turquoise;57.2166014356325;;POLG;DNA polymerase gamma, catalytic subunit(POLG)
ENSG00000279584;turquoise;57.1887524654171;;#N/A;#N/A
ENSG00000169994;turquoise;55.5823948225746;;MYO7B;myosin VIIB(MYO7B)
ENSG00000105429;turquoise;55.2836878238241;;MEGF8;multiple EGF like domains 8(MEGF8)
ENSG00000090372;turquoise;54.3556845901953;;STRN4;striatin 4(STRN4)
ENSG00000136928;turquoise;53.8976287262168;;GABBR2;gamma-aminobutyric acid type B receptor subunit 2(GABBR2)
ENSG00000261143;turquoise;52.780101355596;;ADAMTS7P;sapiens    ADAMTS7 pseudogene 3(ADAMTS7P3)
ENSG00000187741;turquoise;52.2741781533438;;FANCA;FA complementation group A(FANCA)
ENSG00000162591;turquoise;51.6217620928063;;MEGF6;multiple EGF like domains 6(MEGF6)
ENSG00000109066;turquoise;51.5791099727042;;TMEM104;transmembrane protein 104(TMEM104)
ENSG00000183020;turquoise;50.5374225206012;;AP2A2;adaptor related protein complex 2 subunit alpha 2(AP2A2)
ENSG00000093072;turquoise;50.0114504578162;;ADA2;adenosine deaminase 2(ADA2)
ENSG00000100433;turquoise;49.9666779930375;;KCNK10;potassium two pore domain channel subfamily K member 10(KCNK10)
ENSG00000185585;turquoise;49.8487822740944;;OLFML2A;olfactomedin like 2A(OLFML2A)
ENSG00000136378;turquoise;48.9748748386808;;ADAMTS7;ADAM metallopeptidase with thrombospondin type 1 motif 7(ADAMTS7)
ENSG00000180269;turquoise;48.1137567766979;;GPR139;G protein-coupled receptor 139(GPR139)
ENSG00000263002;turquoise;47.9621876828866;;ZNF234;zinc finger protein 234(ZNF234)
ENSG00000180974;yellow;108.231446441484;;OR52E4;olfactory receptor family 52 subfamily E member 4(OR52E4)
ENSG00000228495;yellow;103.73687199102;;LINC0101;sapiens    long intergenic non-protein coding RNA 1013(LINC01013)
ENSG00000197506;yellow;102.639456011238;;SLC28A3;solute carrier family 28 member 3(SLC28A3)
ENSG00000279927;yellow;102.55705911456;;#N/A;#N/A
ENSG00000260220;yellow;102.318634144791;;CCDC187;coiled-coil domain containing 187(CCDC187)
ENSG00000236130;yellow;102.270320987856;;PTCSC2;papillary thyroid carcinoma susceptibility candidate 2(PTCSC2)
ENSG00000244754;yellow;101.82875925081;;N4BP2L2;NEDD4 binding protein 2 like 2(N4BP2L2)
ENSG00000018625;yellow;101.770241549541;;ATP1A2;ATPase Na+/K+ transporting subunit alpha 2(ATP1A2)
ENSG00000169418;yellow;100.984963617348;;NPR1;natriuretic peptide receptor 1(NPR1)
ENSG00000269335;yellow;100.852482924997;;IKBKG;inhibitor of nuclear factor kappa B kinase regulatory subunit gamma(IKBKG)
ENSG00000253942;yellow;100.699967444575;;LOC10041;sapiens    myeloid leukemia factor 2 pseudogene(LOC100419977)
ENSG00000147394;yellow;100.607397102439;;ZNF185;zinc finger protein 185 with LIM domain(ZNF185)
ENSG00000170921;yellow;100.4506019313;;TANC2;tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2(TANC2)
ENSG00000275004;yellow;100.041054526299;;ZNF280B;zinc finger protein 280B(ZNF280B)
ENSG00000175354;yellow;98.6075382996208;;PTPN2;protein tyrosine phosphatase non-receptor type 2(PTPN2)
ENSG00000136504;yellow;98.374639244008;;KAT7;lysine acetyltransferase 7(KAT7)
ENSG00000146833;yellow;97.7572616536915;;TRIM4;tripartite motif containing 4(TRIM4)
ENSG00000242498;yellow;97.2868026393953;;ARPIN;actin related protein 2/3 complex inhibitor(ARPIN)
ENSG00000273258;yellow;97.2166192050452;;#N/A;#N/A
ENSG00000109089;yellow;96.1683952995393;;CDR2L;cerebellar degeneration related protein 2 like(CDR2L)
