ME;SYMBOL;miRNA;miRNA Count;Tarbase;miRNA Details;;;;;;;;;;
yellow;MEX3C;hsa-miR-143-3p;13;#N/A;hsa-miR-143-3p;hsa-miR-125a-3p;hsa-miR-21-5p;hsa-miR-26b-5p;hsa-miR-130a-3p;hsa-miR-140-5p;hsa-miR-18a-5p;hsa-miR-148b-3p;;;
yellow;PTPN2;hsa-miR-21-5p;13;hsa-miR-210-3p;hsa-miR-21-5p;hsa-miR-181a-5p;hsa-miR-125a-5p;hsa-miR-20a-5p;hsa-miR-130a-3p;hsa-miR-17-5p;hsa-miR-125b-5p;;;;
yellow;KIF1B;hsa-miR-143-3p;15;hsa-miR-29b-3p;hsa-miR-143-3p;hsa-miR-7-5p;hsa-miR-181a-5p;hsa-miR-26b-5p;hsa-miR-125a-5p;hsa-miR-140-5p;hsa-miR-92a-3p;hsa-miR-18a-5p;hsa-miR-125b-5p;hsa-miR-196a-5p;
yellow;N4BP2L2;hsa-miR-20a-5p;7;#N/A;hsa-miR-20a-5p;hsa-miR-130a-3p;hsa-miR-17-5p;hsa-miR-196a-5p;;;;;;;
yellow;GNAS;hsa-miR-125a-3p;5;#N/A;hsa-miR-125a-3p;hsa-miR-378a-3p;hsa-miR-18a-5p;;;;;;;;
yellow;TRIM14;hsa-miR-26b-5p;5;hsa-miR-15b-5p;hsa-miR-26b-5p;hsa-miR-140-5p;hsa-miR-148b-3p;hsa-miR-196a-5p;;;;;;;
yellow;MEIS1;hsa-miR-143-3p;5;hsa-miR-495-3p;hsa-miR-143-3p;hsa-miR-21-5p;hsa-miR-92a-3p;;;;;;;;
yellow;BCL11A;hsa-miR-21-5p;16;hsa-miR-138-5p;hsa-miR-21-5p;hsa-miR-181a-5p;hsa-miR-26b-5p;hsa-miR-20a-5p;hsa-miR-130a-3p;hsa-miR-17-5p;hsa-miR-140-5p;hsa-miR-92a-3p;hsa-miR-148b-3p;hsa-miR-196a-5p;
yellow;PNN;hsa-miR-143-3p;7;#N/A;hsa-miR-143-3p;hsa-miR-20a-5p;hsa-miR-17-5p;hsa-miR-92a-3p;;;;;;;
yellow;MBP;hsa-miR-21-5p;7;#N/A;hsa-miR-21-5p;hsa-miR-20a-5p;hsa-miR-17-5p;hsa-miR-148b-3p;;;;;;;
yellow;ATG14;hsa-miR-20a-5p;9;hsa-miR-195-5p;hsa-miR-20a-5p;hsa-miR-130a-3p;hsa-miR-17-5p;hsa-miR-140-5p;hsa-miR-92a-3p;hsa-miR-148b-3p;;;;;
yellow;KIAA1109;hsa-miR-21-5p;6;#N/A;hsa-miR-21-5p;hsa-miR-26b-5p;hsa-miR-140-5p;hsa-miR-92a-3p;;;;;;;
yellow;MYO5C;hsa-miR-143-3p;6;#N/A;hsa-miR-143-3p;hsa-miR-378a-3p;hsa-miR-18a-5p;;;;;;;;
yellow;CASP4;hsa-miR-20a-5p;6;#N/A;hsa-miR-20a-5p;hsa-miR-17-5p;hsa-miR-18a-5p;;;;;;;;
yellow;ZNF280B;hsa-miR-20a-5p;6;#N/A;hsa-miR-20a-5p;hsa-miR-17-5p;hsa-miR-18a-5p;;;;;;;;
